src	dst	numberOfPaths
47726	917339	1
47726	1010995	2
47726	3240329	2
47726	2834575	2
47726	3243841	1
47726	4335591	1
47726	2998491	1
47726	3813675	1
47726	3864957	1
47726	4643749	1
47726	4805819	1
47726	4308850	1
47726	3204588	1
47726	3719736	1
47726	3147740	1
47726	3937780	1
47726	4813806	1
47726	3400072	1
74305	3757433	1
74305	4032407	1
74305	3532081	1
74305	3371896	1
74305	3518968	1
74305	3538910	1
74305	3424942	1
74305	3525774	1
74305	4073878	1
74305	4098294	1
74305	4118234	1
74305	4134384	1
74305	3625894	1
74305	3123800	1
74305	3241864	1
74305	4060674	1
130978	3801179	2
130978	3860889	1
236795	4096097	2
236795	3111845	3
236795	3373073	1
236795	3789331	1
236795	3076406	1
236795	3578132	3
236795	3314320	2
236795	3632770	1
255999	263919	1
255999	1146601	1
255999	3296095	1
255999	257517	1
255999	293151	1
255999	1476431	2
255999	2030979	1
255999	3577325	2
255999	3946639	1
255999	3272022	1
255999	4038944	1
255999	1820436	1
255999	266436	1
255999	2930818	1
255999	3573818	1
255999	4021584	1
255999	4286178	1
255999	3052724	1
255999	3278632	1
256044	3511623	1
256044	2979773	1
256044	4089163	1
256044	4310787	1
256044	4392963	1
256044	700537	1
256044	2966639	1
256044	3494705	1
256044	4305290	1
256044	4035346	1
256044	3007714	1
256503	3482153	2
256503	3347228	1
257517	255999	1
257517	263919	1
257517	1146601	2
257517	1388819	1
257517	3296095	1
257517	293151	2
257517	4817755	1
257517	3034957	1
257517	3610365	2
257517	1476431	1
257517	2030979	1
257517	3577325	1
257517	3946639	1
257517	4322769	1
257517	3272022	1
257517	3701620	1
257517	4038944	1
257517	1820436	1
257517	3572270	1
257517	266436	1
257517	2930818	3
257517	3573818	3
257517	4021584	3
257517	4684716	2
257517	317750	1
257517	3052724	2
257517	3278632	1
260422	3381569	2
260422	4843913	1
260422	3470531	1
260422	4288055	1
260422	4817171	1
260422	3604289	1
260422	3759874	1
260422	271184	3
260422	3737078	1
260422	3676098	1
260422	4847644	1
260422	4258598	1
262803	3505153	1
262803	3335101	2
262803	3453771	1
262803	3759851	2
262803	3540340	1
262803	3701620	1
262803	3283758	1
263919	255999	1
263919	1146601	1
263919	3296095	2
263919	257517	1
263919	293151	1
263919	3876891	1
263919	1476431	1
263919	2030979	1
263919	3577325	1
263919	3946639	1
263919	3272022	2
263919	4038944	1
263919	1820436	2
263919	266436	2
263919	2930818	2
263919	3573818	1
263919	4021584	1
263919	3052724	2
263919	3278632	1
266436	255999	1
266436	263919	2
266436	1146601	4
266436	3296095	2
266436	257517	1
266436	293151	4
266436	1476431	1
266436	2030979	1
266436	3577325	1
266436	3946639	1
266436	3272022	5
266436	4038944	1
266436	1820436	2
266436	2930818	2
266436	3573818	2
266436	4021584	1
266436	3052724	4
266436	3278632	1
266687	3825035	1
266687	3950945	1
266687	3958419	1
266687	4298909	2
266687	4304555	2
266687	3355516	2
266687	3889526	2
266687	3815834	1
266687	4819526	2
267240	3087217	4
267240	3885597	2
267240	4186736	1
267240	3420546	4
267715	2927359	1
267715	3072993	1
267715	3503821	1
267715	3558999	1
267715	3641706	1
267715	4306794	1
267715	3243698	1
268570	2948440	2
268570	3827540	1
269814	3375553	1
269814	4089559	1
270447	741969	2
270447	3093656	3
270447	4823426	4
270447	3529680	2
271184	3381569	1
271184	3470531	1
